SettlementPoint,Year,Month,AveragePrice
LZ_CPS,2016,11,21.71466666666668
LZ_CPS,2016,12,26.596424731182818
LZ_CPS,2017,1,23.772567204301065
LZ_CPS,2017,2,20.919479166666655
LZ_CPS,2017,3,23.861547779273234
LZ_CPS,2017,4,25.337902777777774
LZ_CPS,2017,5,26.537029569892443
LZ_CPS,2017,6,30.41599999999999
LZ_CPS,2017,7,32.1152956989247
LZ_CPS,2017,8,28.13756720430108
LZ_CPS,2017,9,25.136652777777797
LZ_CPS,2017,10,25.275954301075267
LZ_CPS,2017,11,23.572569444444426
LZ_CPS,2017,12,22.04837365591397
LZ_CPS,2018,1,41.312876344086014
LZ_CPS,2018,2,22.517395833333318
LZ_CPS,2018,3,25.289273216689107
LZ_CPS,2018,4,26.535375000000013
LZ_CPS,2018,5,36.05559139784947
LZ_CPS,2018,6,30.727277777777783
LZ_CPS,2018,7,79.12443548387105
LZ_CPS,2018,8,31.865685483871015
LZ_CPS,2018,9,27.512986111111136
LZ_CPS,2018,10,31.635967741935485
LZ_CPS,2018,11,32.041208333333316
LZ_CPS,2018,12,30.309220430107572
LZ_CPS,2019,1,26.798333333333357
LZ_CPS,2019,2,24.11011904761902
LZ_CPS,2019,3,29.351695827725433
LZ_CPS,2019,4,25.363597222222218
LZ_CPS,2019,5,26.246075268817183
LZ_CPS,2019,6,26.391291666666703
LZ_CPS,2019,7,30.667177419354825
LZ_CPS,2019,8,127.69620967741939
LZ_CPS,2019,9,82.43634722222212
LZ_CPS,2019,10,33.553602150537664
LZ_CPS,2019,11,25.57513888888891
LZ_CPS,2019,12,19.997862903225816
LZ_HOUSTON,2016,1,19.563938172043017
LZ_HOUSTON,2016,2,15.487988505747138
LZ_HOUSTON,2016,3,17.206729475100946
LZ_HOUSTON,2016,4,19.128930555555566
LZ_HOUSTON,2016,5,19.903991935483887
LZ_HOUSTON,2016,6,29.915083333333325
LZ_HOUSTON,2016,7,29.91186827956986
LZ_HOUSTON,2016,8,33.56354838709678
LZ_HOUSTON,2016,9,29.032680555555544
LZ_HOUSTON,2016,10,28.545819892473133
LZ_HOUSTON,2016,11,20.437680555555556
LZ_HOUSTON,2016,12,25.736841397849467
LZ_HOUSTON,2017,1,24.827365591397836
